[30.11.2018 | 23:18:08] Kidra_Tanosa(0)[127.0.0.1] dialog 1 | 0 | list -1| 
[30.11.2018 | 23:18:10] Kidra_Tanosa(0)[127.0.0.1] dialog 3 | 0 | list -1| 
[30.11.2018 | 23:18:11] Kidra_Tanosa(0)[127.0.0.1] dialog 1 | 0 | list -1| 
[30.11.2018 | 23:18:12] Kidra_Tanosa(0)[127.0.0.1] dialog 3 | 1 | list -1| 
[30.11.2018 | 23:28:35] Kidra_Tanosa(0)[127.0.0.1] dialog 1 | 1 | list -1| 123456
[30.11.2018 | 23:28:38] Kidra_Tanosa(0)[127.0.0.1] dialog 1 | 1 | list 0| Мужчина
[30.11.2018 | 23:28:39] Kidra_Tanosa(0)[127.0.0.1] dialog 1 | 1 | list 0| Светлый
[30.11.2018 | 23:28:43] Kidra_Tanosa(0)[127.0.0.1] dialog 1 | 1 | list 4| Другое
[30.11.2018 | 23:31:44] Kidra_Tanosa(0)[127.0.0.1] dialog 1 | 1 | list -1| 123456
[30.11.2018 | 23:31:45] Kidra_Tanosa(0)[127.0.0.1] dialog 1 | 1 | list 0| Мужчина
[30.11.2018 | 23:31:46] Kidra_Tanosa(0)[127.0.0.1] dialog 1 | 1 | list 0| Светлый
[30.11.2018 | 23:31:48] Kidra_Tanosa(0)[127.0.0.1] dialog 1 | 1 | list 0| Вкладка 'Hosted'
[30.11.2018 | 23:36:21] Kidra_Tanosa(0)[127.0.0.1] dialog 1 | 1 | list -1| 123456
[30.11.2018 | 23:36:23] Kidra_Tanosa(0)[127.0.0.1] dialog 1 | 1 | list 0| Мужчина
[30.11.2018 | 23:36:23] Kidra_Tanosa(0)[127.0.0.1] dialog 1 | 1 | list 0| Светлый
[30.11.2018 | 23:36:24] Kidra_Tanosa(0)[127.0.0.1] dialog 1 | 1 | list 0| Вкладка 'Hosted'
